ID (Unique record ID),"Species (Dominant tree species, Latin ...)","Spec code (Tree species code, see ""Speci...)","Trees comp (Tree species composition, e.g...)",Comm (Structure of age),Origin,Site ind (Site index code (from 0 to 12...),Standage,Trees canopy h [m] (Average height of the stand -...),DBH [cm] (Average),Trees [#/ha],Stocking rel (Ratio of basal area of a plot...),Tree BA [m**2/ha] (total cross-sectional area of...),Trees grow stock vol [m**3/ha] (Volume of stems of all living...),Stemoverbark,Biom live dm [t/ha] (Bark of stem),Biom live dm [t/ha] (Branches over bark),Foliage,Stumproots,Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Roots with the diameter less ...),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Total live biomass of understory),Biom live dm [t/ha] (Above-ground live biomass of ...),Biom live dm [t/ha] (Total live biomass of green f...),Biom dm [t/ha] (Snags),Biom dm [t/ha] (Logs),Biom dm [t/ha] (Coarse woody debris),Biom dm [t/ha] (Dead branches of living trees),Biom dm [t/ha] (Dead roots),Biom dm [t/ha] (Litter),Country (Country code (ISO ALPHA-3)),Latitude,Longitude,Altitude [m],Date (Year of measurements),Trees (Number of trees selected for ...),LAI,"Ecoregion (Code of ecoregion (Olson, 200...)",Reference
3341,Populus tremula,125,100-As,,Natural,9,54,13.5,10.1,2590,0.9,,132,67.5,6.14,6.65,2.12,15,,,,,,,,,,,,,,,,,RUS,51,105,,1973,,,80609,"Koposov, 1975"
9112,Populus tremula,125,100-As,,Natural,6,55,24,29.6,500,,,375,161,,26,6.5,51.4,,,,,,,,,,,,,,,,,RUS,58,33,,1978,,,80436,"Lazukova, Shuytsev, 1980"
9119,Populus tremula,125,100-As,,Natural,6,55,24,21,937,,,298,160,19.7,21.5,6.1,31.9,,,,,,,,,,,,,,,,,RUS,55.33,37,,1966,,,80436,"Dylis, Nosova, 1977; Kashlev,1968"
9113,Populus tremula,125,100-As,,Natural,6,65,25.5,25.9,1000,,,600,258,,38.4,7.8,116,,,,,,,,,,,,,,,,,RUS,58,33,,1978,,,80436,"Lazukova, Shuytsev, 1980"
9116,Populus tremula,125,100-As,,Natural,6,75,26,27,1185,,,350,186.8,26.4,28.9,7.4,37.9,,,,,,,,,,,,,,,,,RUS,55.33,37,,1966,,,80436,"Dylis, Nosova, 1977; Kashlev,1968"
9147,Populus tremula,125,100-As,,Natural,5,77,31,33,487,,,493,213.4,,33,4.67,53.6,,,,,,,,,,,,,,,,,RUS,59.5,44,,1995,,,80608,"Utkin et al., 1997"
5490,Fagus sylvatica,112,100-Be,,Natural,8,8,1.7,1,510000,,,24,14.6,,2.2,2.1,3.4,,,,,,,,,,,,,,,,,DEN,55.52,11.77,,1944,,,80405,"M眉ller, 1946"
3559,Fagus sylvatica,112,100-Be,,Natural,6,30,16.3,13.7,2960,0.73,,162,138.1,,22.3,4.42,19.4,,,,,,,,,,,,,,,,,BUL,42.5,23,600,1968,,,80404,"Garelkov, 1970"
9755,Fagus sylvatica,112,100-Be,,Natural,6,30,,7.6,3500,,,115,65,,11,2.4,15,,,,,,,,,,,,,,,,,FRA,48.67,7.08,300,1998,,,80445,"Granier et al., 2000"
3544,Fagus sylvatica,112,100-Be,,Natural,5,33,14,8.7,4200,1.01,,186,119.1,,14.7,3.59,40.1,,,,,,,,,,,,,,,,,UKR,49.1,23.3,490,1981,,,80504,"Odinak, Borsuk, 1977, 1983; Odinak, 1992"
9645,Fagus sylvatica,112,100-Be,,Natural,5,45,21.3,16.5,994,,,342,204.2,9,57.8,3.4,66.4,,,,,,,,,,,,,,,,,UKR,49,24.5,,1990,,,80504,"Lakyda, Domashovets, 2009; Odinak, 1992"
3545,Fagus sylvatica,112,100-Be,,Natural,5,48,20.4,13,2285,0.87,,276,174.4,,17.3,2.77,54.6,,,,,,,,,,,,,,,,,UKR,49.1,23.3,490,1981,,,80504,"Odinak, Borsuk, 1977, 1983; Odinak, 1992"
5363,Fagus sylvatica,112,100-Be,,Natural,8,57,14.6,8.6,3620,,,155,91.1,,38.7,3.49,20.7,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5364,Fagus sylvatica,112,100-Be,,Natural,8,59,15.4,9.2,3620,,,189,110,,41.5,3.16,23.9,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5366,Fagus sylvatica,112,100-Be,,Natural,8,61,16.2,9.5,3620,,,221,121.7,,42.7,3.29,25.8,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5367,Fagus sylvatica,112,100-Be,,Natural,7,62,16.5,10.8,2680,,,230,126.6,,38.5,2.89,25.7,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5371,Fagus sylvatica,112,100-Be,,Natural,7,67,18.3,12.2,2400,,,304,155.7,,39.4,3.57,29.7,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
3566,Fagus orientalis,112,100-Be,,Natural,7,70,20.4,22,747,0.93,,275,170.4,,73.8,5.3,60.8,,,,,,,,,,,,,,,,,AZE,41,49,1675,1978,,,80408,"Gasanov, 1980"
3546,Fagus sylvatica,112,100-Be,,Natural,5,75,30.9,26.9,680,0.99,,560,342.4,,38.1,3.05,105.6,,,,,,,,,,,,,,,,,UKR,49.1,23.3,490,1981,,,80504,"Odinak, Borsuk, 1977, 1983; Odinak, 1992"
5372,Fagus sylvatica,112,100-Be,,Natural,8,78,19.8,13.9,1190,,,219,114.6,,24.7,3.57,20.1,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
9783,Fagus sylvatica,112,100-Be,,Natural,6,79,24,30,568,,,385,160.7,,40.2,3.7,50.8,,,,,,,,,,,,,,,,,CZE,50.55,13.47,750,1998,,,80445,"Persson et al., 2000; Scarascia-Mugnozza, 2000"
3564,Fagus orientalis,112,100-Be,,Natural,7,80,22.1,23,689,0.95,,294,182.3,,67.8,5.1,64.1,,,,,,,,,,,,,,,,,AZE,41,49,1675,1978,,,80408,"Gasanov, 1980"
5373,Fagus sylvatica,112,100-Be,,Natural,7,80,20.4,14.5,1190,,,244,129.6,,25.9,3.29,22.1,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
9761,Fagus sylvatica,112,100-Be,,Natural,6,81,27.3,29.7,304,,,360,192,,64.1,2.8,50,,,,,,,,,,,,,,,,,FRA,48.33,1.17,153,2002,,,80402,"Huet et al., 2004"
5375,Fagus sylvatica,112,100-Be,,Natural,8,82,20.8,14.9,1190,,,262,138.2,,26.4,3.56,22.6,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5376,Fagus sylvatica,112,100-Be,,Natural,7,83,21.1,15.6,1090,,,273,144,,26.1,2.96,23.7,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5494,Fagus sylvatica,112,100-Be,,Natural,6,88,28.6,31.3,370,,,262,170.4,7.4,43.2,2.1,43.2,,,,,,,,,,,,,,,,,DEN,56.3,10.48,20,1979,,,80405,"DeAngelis et al., 1981"
5379,Fagus sylvatica,112,100-Be,,Natural,7,88,22.5,16.5,1070,,,321,167.8,,27.3,3.36,26.7,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
9846,Fagus sylvatica,112,100-Be,,Natural,6,90,28,46.9,180,,,452,245,11,64.9,4.1,43.4,,,,,,,,,,,,,,,,,SWE,56,13.5,105.5,1975,,,80405,"Nihlgard,, Lindgren, 1977"
9845,Fagus sylvatica,112,100-Be,,Natural,7,90,25,39,240,,,553,221,9,99,3.6,51,,,,,,,,,,,,,,,,,SWE,56,13.5,105,1975,,,80405,"Nihlgard,, Lindgren, 1977"
3550,Fagus sylvatica,112,100-Be,,Natural,8,97,20.9,33.8,475,0.66,,193,123.6,,41.1,2.7,67.8,,,,,,,,,,,,,,,,,UKR,49.1,23.3,490,1981,,,80504,"Odinak, Borsuk, 1977, 1983; Odinak, 1992"
5393,Fagus sylvatica,112,100-Be,,Natural,6,98,30,33.5,404,,,537,296,16.8,37.4,2.71,57,,,,,,,,,,,,,,,,,GER,51.5,10,420,1988,,,80445,"Pellinen, 1986"
5395,Fagus sylvatica,112,100-Be,,Natural,6,98,28.6,29.6,492,,,480,267.9,15.2,35.2,3,53,,,,,,,,,,,,,,,,,GER,51.5,10,420,1990,,,80445,"Pellinen, 1986"
3548,Fagus sylvatica,112,100-Be,,Natural,6,98,29.6,35.1,542,0.92,,464,292,,62.2,3.47,100.5,,,,,,,,,,,,,,,,,UKR,49.1,23.3,490,1981,,,80504,"Odinak, Borsuk, 1977, 1983; Odinak, 1992"
10071,Fagus crenata,112,100-Be,,Natural,7,100,24.6,42.1,235,,,433,281.6,,60,2.73,71.1,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1025,1975,,,80428,"Kakubari, 1977"
10078,Fagus crenata,112,100-Be,,Natural,7,100,23.6,37.6,289,,,546,287.7,,58.6,2.94,69.8,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1075,1969,,,80428,"Maruyama, 1971, 1977"
9847,Fagus sylvatica,112,100-Be,,Natural,8,100,22,34.4,320,,,301,166,8,56.3,2.7,36.6,,,,,,,,,,,,,,,,,SWE,56,13.5,106,1975,,,80405,"Nihlgard,, Lindgren, 1977"
10079,Fagus crenata,112,100-Be,,Natural,7,100,25.3,36.8,321,,,547,299.7,,58.9,3.02,72.3,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1075,1969,,,80428,"Maruyama, 1971, 1977"
10081,Fagus crenata,112,100-Be,,Natural,8,100,22.3,34.9,356,,,549,301.1,,60.9,3.17,73,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1075,1969,,,80428,"Maruyama, 1971, 1977"
10077,Fagus crenata,112,100-Be,,Natural,7,100,24.6,36.6,367,,,523,275.1,,56.1,3.01,66.8,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1075,1969,,,80428,"Maruyama, 1971, 1977"
10082,Fagus crenata,112,100-Be,,Natural,8,100,23,33.5,400,,,475,258,,50.9,2.72,62.3,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1075,1969,,,80428,"Maruyama, 1971, 1977"
10086,Fagus crenata,112,100-Be,,Natural,10,100,13.2,24.5,422,,,243,119.4,,31.6,1.94,30.6,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1075,1969,,,80428,"Maruyama, 1971, 1977"
3547,Fagus sylvatica,112,100-Be,,Natural,5,100,35.6,35.6,428,1.11,,754,444.6,,42.2,2.79,127.3,,,,,,,,,,,,,,,,,UKR,49.1,23.3,490,1981,,,80504,"Odinak, Borsuk, 1977, 1983; Odinak, 1992"
10080,Fagus crenata,112,100-Be,,Natural,9,100,18.7,23.9,470,,,457,256.9,,54.4,2.52,78.5,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1075,1969,,,80428,"Maruyama, 1971, 1977"
10085,Fagus crenata,112,100-Be,,Natural,11,100,11.5,20.7,639,,,301,161.6,,43,2.49,41.4,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1075,1969,,,80428,"Maruyama, 1971, 1977"
3561,Fagus sylvatica,112,100-Be,,Natural,8,100,21.5,28,730,1.61,,490,371.2,,38.3,4.14,103.4,,,,,,,,,,,,,,,,,BUL,42.5,25,1560,1984,,,80404,"Antonov, 1986"
10087,Fagus crenata,112,100-Be,,Natural,11,100,10.6,17.1,820,,,342,167.7,,44.3,2.72,42.9,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1075,1969,,,80428,"Maruyama, 1971, 1977"
10089,Fagus crenata,112,100-Be,,Natural,11,100,11.5,21.6,844,,,288,163.5,,81.2,3,81.6,,,,,,,,,,,,,,,,,JPN,36.78,139.93,940,1977,,,80440,"Kawahara et al., 1979"
10084,Fagus crenata,112,100-Be,,Natural,11,100,11.3,16.9,959,,,289,192.3,,50.4,3.07,49.2,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1075,1969,,,80428,"Maruyama, 1971, 1977"
10083,Fagus crenata,112,100-Be,,Natural,11,100,8.7,14.5,1016,,,328,181,,72.2,3.21,51.3,,,,,,,,,,,,,,,,,JPN,36.85,138.68,1075,1969,,,80428,"Maruyama, 1971, 1977"
3558,Fagus sylvatica,112,100-Be,,Natural,7,100,23.7,24,1200,,,460,364.7,,49.1,4.67,49.7,,,,,,,,,,,,,,,,,BUL,42.5,24,1500,1971,,,80404,"Garelkov, 1973"
3557,Fagus sylvatica,112,100-Be,,Natural,9,100,17.2,18,2000,1.56,,352,280,,31.6,2.86,37.5,,,,,,,,,,,,,,,,,BUL,42.5,24,1500,1971,,,80404,"Garelkov, 1973"
3556,Fagus sylvatica,112,100-Be,,Natural,10,100,14.5,14,2580,1.53,,273,169.6,,24.2,3.77,54.7,,,,,,,,,,,,,,,,,BUL,42.5,24,1500,1971,,,80404,"Garelkov, 1973"
5394,Fagus sylvatica,112,100-Be,,Natural,5,101,30.3,35.1,375,,,551,305.8,17.4,38.6,2.68,58.6,,,,,,,,,,,,,,,,,GER,51.5,10,420,1989,,,80445,"Pellinen, 1986"
5396,Fagus sylvatica,112,100-Be,,Natural,6,101,29.2,32.3,417,,,495,277.1,15.7,35.8,2.67,54.4,,,,,,,,,,,,,,,,,GER,51.5,10,420,1991,,,80445,"Pellinen, 1986"
5593,Fagus sylvatica,112,100-Be,,Natural,7,102,24.9,34,325,,,488,275.5,,42.7,3.28,43,,,,,,,,,,,,,,,,,ITA,44.67,9,,1981,,,81211,"Calamini et al., 1983, 1989"
5594,Fagus sylvatica,112,100-Be,,Natural,7,102,23.1,,398,,,485,274.3,,42.5,2.7,43,,,,,,,,,,,,,,,,,ITA,44.67,9,,1981,,,81211,"Calamini et al., 1983, 1989"
5592,Fagus sylvatica,112,100-Be,,Natural,9,104,18,21.2,885,,,291.3,174.2,13.8,31.8,2.8,59,,,,,,,,,,,,,,,,,ITA,41.87,13.63,1560,1996,,,80401,"Masci et al., 1998; Persson et al., 2000; Scarascia-Mugnozza, 2000"
3560,Fagus sylvatica,112,100-Be,,Natural,10,110,12.4,16,1210,1.03,,151,99.4,,21.3,3.41,92.4,,,,,,,,,,,,,,,,,BUL,42.5,23,600,1968,,,80404,"Garelkov, 1970"
5391,Fagus sylvatica,112,100-Be,,Natural,6,113,31.1,38.8,254,,,469,276.7,16.7,36.2,2.91,49.6,,,,,,,,,,,,,,,,,GER,51.5,10,420,1986,,,80445,"Pellinen, 1986"
5392,Fagus sylvatica,112,100-Be,,Natural,6,116,31.5,40.3,242,,,488,289.9,17.5,38,2.66,51.4,,,,,,,,,,,,,,,,,GER,51.5,10,420,1987,,,80445,"Pellinen, 1986"
5495,Fagus sylvatica,112,100-Be,,Natural,7,118,26.3,40.5,400,,,471,265.9,,60.4,4.7,73.7,,,,,,,,,,,,,,,,,DEN,55.97,12.25,45,1998,,,80405,"Persson et al., 2000; Scarascia-Mugnozza, 2000"
5016,Fagus sylvatica,112,100-Be,,Natural,8,120,24.6,38,199,,,225,151.4,,114.1,3.46,71.6,,,,,,,,,,,,,,,,,BEL,50.33,5.67,595,1971,,,80445,"Devillez et al., 1973b"
5380,Fagus sylvatica,112,100-Be,,Natural,7,120,25.4,33.2,245,,,355,223.8,,30.4,3.44,28.6,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5397,Fagus sylvatica,112,100-Be,,Natural,8,120,24,33.6,372,,,394,222.9,,45.8,3.5,56.6,,,,,,,,,,,,,,,,,GER,50.07,11.83,850,1998,,,80445,"Persson et al., 2000; Scarascia-Mugnozza, 2000"
5381,Fagus sylvatica,112,100-Be,,Natural,7,121,25.8,33.6,245,,,370,230.3,,31.5,3.29,29.2,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5382,Fagus sylvatica,112,100-Be,,Natural,7,122,26.2,34.1,244,,,387,238.8,,32.5,3.08,30,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
3549,Fagus sylvatica,112,100-Be,,Natural,7,122,29.5,38.5,436,0.76,,356,220.5,,49.7,2.3,91.6,,,,,,,,,,,,,,,,,UKR,49.1,23.3,490,1981,,,80504,"Odinak, Borsuk, 1977, 1983; Odinak, 1992"
5383,Fagus sylvatica,112,100-Be,,Natural,7,123,26.6,34.5,243,,,402,246.6,,33.5,2.69,30.9,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5384,Fagus sylvatica,112,100-Be,,Natural,7,124,26.9,34.7,241,,,408,247.7,,33.5,3.06,30.9,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5385,Fagus sylvatica,112,100-Be,,Natural,7,125,27.2,35.1,241,,,421,255.1,,34.4,2.87,31.7,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5386,Fagus sylvatica,112,100-Be,,Natural,7,126,27.4,35.4,239,,,428,259.9,,35,2.72,32.1,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
5388,Fagus sylvatica,112,100-Be,,Natural,7,130,28,36.7,230,,,447,274.7,,36.5,3.16,33.3,,,,,,,,,,,,,,,,,GER,51.82,9.58,500,1984,,,80445,"Ellenberg et al., 1986"
3563,Fagus sylvatica,112,100-Be,,Natural,7,130,25.5,30.7,545,1.16,,460,300.7,,70.4,2.7,106.4,,,,,,,,,,,,,,,,,BUL,42.5,25,1300,1985,,,80404,"Marinov et al., 1983"
3562,Fagus sylvatica,112,100-Be,,Natural,9,130,18.6,26,797,1.52,,378,249.1,,67.4,1.7,41.3,,,,,,,,,,,,,,,,,BUL,42.5,25,1300,1985,,,80404,"Marinov et al., 1983"
3551,Fagus sylvatica,112,100-Be,,Natural,9,137,21.5,35.4,748,0.76,,226,141.1,,56.1,2.43,70.2,,,,,,,,,,,,,,,,,UKR,49.1,23.3,490,1981,,,80504,"Odinak, Borsuk, 1977, 1983; Odinak, 1992"
9762,Fagus sylvatica,112,100-Be,,Natural,6,145,31.6,45.4,208,,,489,261,,188.2,3.1,56,,,,,,,,,,,,,,,,,FRA,48.33,1.17,153,2002,,,80402,"Huet et al., 2004"
9756,Fagus sylvatica,112,100-Be,,Natural,8,161,22.4,34.9,352,,,381.8,203.7,14.5,48.3,2.8,55.7,,,,,,,,,,,,,,,,,FRA,48.2,7.18,1000,1998,,,80445,"Persson et al., 2000; Scarascia-Mugnozza, 2000"
9752,Fagus sylvatica,112,100-Be,,Natural,7,210,32,31.6,350,,,285,185,,46,3,39,,,,,,,,,,,,,,,,,FRA,48.4,2.7,135,1976,,,80402,"Lem茅e, 1978"
9753,Fagus sylvatica,112,100-Be,,Natural,7,210,32,31.6,350,,,300,195,,48,3.2,41,,,,,,,,,,,,,,,,,FRA,48.4,2.7,135,1976,,,80402,"Lem茅e, 1978"
9751,Fagus sylvatica,112,100-Be,,Natural,7,210,32,31.6,350,,,357,232,,58,3.5,49,,,,,,,,,,,,,,,,,FRA,48.4,2.7,135,1976,,,80402,"Lem茅e, 1978"
5146,"Betula pendula, B. pubescens",124,100-Bi,,Natural,6,6,2.1,1.8,10450,0.29,,1.8,0.9,,0.4,0.1,0.3,,,,,,,,,,,,,,,,,GBR,52.48,-0.25,50,1957,,,80421,"Ovington, Madgwick, 1959 a,b"
8957,"Betula pendula, B. pubescens",124,100-Bi,,Natural,5,10,5.2,3.5,13300,1.39,,33,18.6,2.35,8.73,4.04,5.13,,,,,,,,,,,,,,,,,RUS,55.83,39,,1972,,,80436,"Molchanov, 1974"
9587,"Betula pendula, B. pubescens",124,100-Bi,,Natural,5,11,6.2,5.2,9200,1.79,,57,34.6,6.72,3.31,3.68,21.3,,,,,,,,,,,,,,,,,UKR,50.67,26.5,,1971,,,80412,"Polyakov, 1973"
